id,year,INV,MV,CS
1,1981,317.6000061,3078.5,2.799999952
1,1982,391.7999878,4661.700195,52.59999847
1,1983,410.6000061,5387.100098,156.8999939
1,1984,257.7000122,2792.199951,209.1999969
1,1985,330.7999878,4313.200195,203.3999939
1,1986,461.2000122,4643.899902,207.1999969
1,1987,512,4551.200195,255.1999969
1,1988,448,3244.100098,303.7000122
1,1989,499.6000061,4053.699951,264.1000061
1,1990,547.5,4379.299805,201.6000061
1,1991,561.2000122,4840.899902,265
1,1992,688.0999756,4900.899902,402.2000122
1,1993,568.9000244,3526.5,761.5
1,1994,529.2000122,3254.699951,922.4000244
1,1995,555.0999756,3700.199951,1020.099976
1,1996,642.9000244,3755.600098,1099
1,1997,755.9000244,4833,1207.699951
1,1998,891.2000122,4924.899902,1430.5
1,1999,1304.400024,6241.700195,1777.300049
1,2000,1486.699951,5593.600098,2226.300049
2,1981,40.29000092,417.5,10.5
2,1982,72.76000214,837.7999878,10.19999981
2,1983,66.26000214,883.9000244,34.70000076
2,1984,51.59999847,437.8999939,51.79999924
2,1985,52.40999985,679.7000122,64.30000305
2,1986,69.41000366,727.7999878,67.09999847
2,1987,68.34999847,643.5999756,75.19999695
2,1988,46.79999924,410.8999939,71.40000153
2,1989,47.40000153,588.4000244,67.09999847
2,1990,59.56999969,698.4000244,60.5
2,1991,88.77999878,846.4000244,54.59999847
2,1992,74.12000275,893.7999878,84.80000305
2,1993,62.68000031,579,96.80000305
2,1994,89.36000061,694.5999756,110.1999969
2,1995,78.98000336,590.2999878,147.3999939
2,1996,100.6600037,693.5,163.1999969
2,1997,160.6199951,809,203.5
2,1998,145,727,290.6000061
2,1999,174.9299927,1001.5,346.1000061
2,2000,172.4900055,703.2000122,414.8999939
3,1981,33.09999847,1170.599976,97.80000305
3,1982,45,2015.800049,104.4000015
3,1983,77.19999695,2803.300049,118
3,1984,44.59999847,2039.699951,156.1999969
3,1985,48.09999847,2256.199951,172.6000061
3,1986,74.40000153,2132.199951,186.6000061
3,1987,113,1834.099976,220.8999939
3,1988,91.90000153,1588,287.7999878
3,1989,61.29999924,1749.400024,319.8999939
3,1990,56.79999924,1687.199951,321.2999878
3,1991,93.59999847,2007.699951,319.6000061
3,1992,159.8999939,2208.300049,346
3,1993,147.1999969,1656.699951,456.3999939
3,1994,146.3000031,1604.400024,543.4000244
3,1995,98.30000305,1431.800049,618.2999878
3,1996,93.5,1610.5,647.4000244
3,1997,135.1999969,1819.400024,671.2999878
3,1998,157.3000031,2079.699951,726.0999756
3,1999,179.5,2371.600098,800.2999878
3,2000,189.6000061,2759.899902,888.9000244
4,1981,12.93000031,191.5,1.799999952
4,1982,25.89999962,516,0.800000012
4,1983,35.04999924,729,7.400000095
4,1984,22.88999939,560.4000244,18.10000038
4,1985,18.84000015,519.9000244,23.5
4,1986,28.56999969,628.5,26.5
4,1987,48.50999832,537.0999756,36.20000076
4,1988,43.34000015,561.2000122,60.79999924
4,1989,37.02000046,617.2000122,84.40000153
4,1990,37.81000137,626.7000122,91.19999695
4,1991,39.27000046,737.2000122,92.40000153
4,1992,53.45999908,760.5,86
4,1993,55.56000137,581.4000244,111.0999985
4,1994,49.56000137,662.2999878,130.6000061
4,1995,32.04000092,583.7999878,141.8000031
4,1996,32.24000168,635.2000122,136.6999969
4,1997,54.38000107,723.7999878,129.6999969
4,1998,71.77999878,864.0999756,145.5
4,1999,90.08000183,1193.5,174.8000031
4,2000,68.59999847,1188.900024,213.5
5,1981,209.8999939,1362.400024,53.79999924
5,1982,355.2999878,1807.099976,50.5
5,1983,469.8999939,2676.300049,118.0999985
5,1984,262.2999878,1801.900024,260.2000122
5,1985,230.3999939,1957.300049,312.7000122
5,1986,261.6000061,2202.899902,254.1999969
5,1987,472.7999878,2380.5,261.3999939
5,1988,445.6000061,2168.600098,298.7000122
5,1989,361.6000061,1985.099976,301.7999878
5,1990,288.2000122,1813.900024,279.1000061
5,1991,258.7000122,1850.199951,213.8000031
5,1992,420.2999878,2067.699951,232.6000061
5,1993,420.5,1796.699951,264.7999878
5,1994,494.5,1625.800049,306.8999939
5,1995,405.1000061,1667,351.1000061
5,1996,418.7999878,1677.400024,357.7999878
5,1997,588.2000122,2289.5,342.1000061
5,1998,645.2000122,2159.399902,444.2000122
5,1999,641,2031.300049,623.5999756
5,2000,459.2999878,2115.5,669.7000122
